prefix,domain
KXNASDAQ100U,Economics / Finance
KXINXU,Economics / Finance
HIGHNY,Weather
HIGHCHI,Weather
NASDAQ100D,Economics / Finance
INXD,Economics / Finance
HIGHAUS,Weather
KXHIGHAUS,Weather
KXHIGHCHI,Weather
KXHIGHNY,Weather
KXHIGHDEN,Weather
KXHIGHMIA,Weather
KXHIGHPHIL,Weather
KXINX,Economics / Finance
USDJPY,Economics / Finance
EURUSD,Economics / Finance
HIGHMIA,Weather
KXHIGHLAX,Weather
KXTRUMPMENTION,Politics / Government
INX,Economics / Finance
NASDAQ100,Economics / Finance
WTI,Economics / Finance
KXNASDAQ100,Economics / Finance
TNOTED,Economics / Finance
KXSPOTIFYD,Entertainment / Awards
NASDAQ100U,Economics / Finance
EURUSDH,Economics / Finance
INXU,Economics / Finance
538APPROVE,Politics / Government
APRPOTUS,Politics / Government
NASDAQ100W,Economics / Finance
KXSECPRESSMENTION,Politics / Government
NASDAQ100DU,Economics / Finance
INXW,Economics / Finance
INXDU,Economics / Finance
KXSPOTIFY2D,Entertainment / Awards
USDJPYH,Economics / Finance
TNOTEW,Economics / Finance
KXOSCARWINNERS,Entertainment / Awards
KXTRUMPMENTIONB,Politics / Government
KXSPOTIFYGLOBALD,Entertainment / Awards
TSAW,Economics / Finance
WTIW,Economics / Finance
KXHIGHHOU,Weather
KXTSAW,Economics / Finance
GAS,Economics / Finance
KXAPRPOTUS,Politics / Government
RAINSEA,Weather
KXCITIESWEATHER,Weather
RAINNYC,Weather
FED,Economics / Finance
KXSPOTIFYARTISTD,Entertainment / Awards
FRM,Economics / Finance
KXNETFLIXRANKMOVIE,Entertainment / Awards
KXNETFLIXRANKSHOW,Entertainment / Awards
CPI,Economics / Finance
TOPSONG,Entertainment / Awards
KXRAINNYC,Weather
U3,Economics / Finance
KXTRUMPSAY,Politics / Government
KXVANCEMENTION,Politics / Government
KXFEDMENTION,Economics / Finance
KXTNFMENTION,Politics / Government
CPIYOY,Economics / Finance
CPICORE,Economics / Finance
KXSNFMENTION,Politics / Government
KXTOPSONG,Entertainment / Awards
KXGRAMMYWINNERS,Entertainment / Awards
KXTOPALBUM,Entertainment / Awards
CPICOREYOY,Economics / Finance
KXMRBEASTMENTION,Politics / Government
HURCAT,Weather
KXMVEMENTIONSSINGLE,Politics / Government
KXMAMDANIMENTION,Politics / Government
KXSURVIVORMENTION,Politics / Government
INXZ,Economics / Finance
KXSOUTHPARKMENTION,Politics / Government
NASDAQ100Z,Economics / Finance
KXPOWELLMENTION,Politics / Government
KXTORNADO,Weather
KXCPIYOY,Economics / Finance
KXSWIFTMENTION,Politics / Government
GDP,Economics / Finance
TORNADO,Weather
KXBERNIEMENTION,Politics / Government
KXUSDJPYH,Economics / Finance
KXJOBLESSCLAIMS,Economics / Finance
KX538APPROVE,Politics / Government
FLIGHTJFK,Weather
KXPAYROLLS,Economics / Finance
KXBILATERALMENTION,Politics / Government
RAINNYCM,Weather
KXBILLBOARDRUNNERUPSONG,Entertainment / Awards
FLIGHTORD,Weather
KXSPOTIFYSONGSMANCHILD,Entertainment / Awards
